pid,doi,wos_award_ids,crossref_award_ids,kuali_verified_award_ids
articles:22029,10.1029/2018JA025309,"NNX13AD64G,NNX14AD46G,NNX13AG07G,FA9559-16-1-0364,AGS 1144154,FA9550-171-0258","AGS 1144154,FA9559-16-1-0364,FA9550-17-1-0258,NNX13AD64G,NNX14AD46G,NNX13AG07G",
articles:21915,10.5194/acp-18-12315-2018,,N/A,
articles:22008,10.1029/2017JD028111,,,
articles:21894,10.5194/acp-18-12223-2018,"NNX16AQ19G,S-12-3,5H01728",,
technotes:565,10.5065/D6HQ3XQJ,,,
technotes:564,10.5065/D6ZW1JRF,,,
articles:21917,10.5194/acp-18-11949-2018,,,
articles:21916,10.5194/acp-18-11927-2018,"RD-83520501,1608775",,
usclivar:113,10.5065/D62N513R,,,
articles:21918,10.3847/1538-4357/aaceab,"742265,AYA2014-60476-P,AYA2014-55078-P,16-16861S,RVO:67985815",,
articles:21920,10.5194/acp-18-11683-2018,"41674149,291332-CODITA","41674149,41225017,291332-CODITA",
articles:21968,10.1126/science.aat8680,,,
articles:21919,10.3847/1538-4357/aad17e,NNH13ZDA001N,,
articles:21921,10.1021/acsearthspacechem.8b00061,"AGS-1428257,AGS-1148951,AGS-1440834,AGS-1552077,NNX14AP89G,ANR-11-LABX-0005-01","ANR-11-LABX-0005-01,AGS-1148951,AGS-1428257,AGS-1440834,AGS-1552077",
articles:21954,10.1029/2018GL078596,"1539972,AGS-138814,NNX14AH54G","NNX14AH54G,1539972,AGS-138814",
articles:21953,10.1029/2018JD028844,"AGS-1135446,1519006","AGS-1135446,1519006",
articles:21902,10.5194/acp-18-11507-2018,"91537211,AGS-1660587,DE-AC06-76RLO 1830",91537211,
articles:21890,10.1007/s10021-017-0193-1,"0919080,0918387",,
articles:21903,10.5194/acp-18-11323-2018,"267760,NE/M018199/1,ES1005,2-1709,CRSII2_147659,ANR-10-LABX-18-01,603557,FP7-ENV.2013.6.1-2","267760,603557",
articles:21884,10.5194/acp-18-11185-2018,"NE/L01291X/1,NE/E011330/1,NE/D006554/1,NE/M013545/1,AGS-1446904,AGS-0328342,AGS-0646854,AGS-0328389,AGS-0646864","AGS-1446904,AGS-0328342,AGS-0646854,AGS-0328389,AGS-0646864",
articles:22054,10.1117/12.2313581,,,
articles:21885,10.1038/s41598-018-30320-0,"41571067,91747201,131C11KYSB20160061",,
articles:21886,10.5194/acp-18-11007-2018,"NNX16AE16G,NNX16AD96G,2-1505,2-1803",KORUSAQ NNX16AE16G,NNX16AD96G
articles:21949,10.1038/s41558-018-0236-4,,,
articles:21990,10.1029/2017MS001189,291406,291406,
articles:21876,10.5194/acp-18-10869-2018,"2017YFC0210000,2016M602886,2017BSHYDZZ27,41661144020",41661144020,
articles:21956,10.1029/2018GL078487,"80NSSC17K0450,NNX13AF77G,AGS-1135446,ACI-1532235,ACI-1532236","80NSSC17K0450,NNX13AF77G,AGS-1135446,ACI-1532235,ACI-1532236",NNX13AF77G
articles:21847,10.3847/1538-4357/aacefa,"P22104000,NHAO0013",,
articles:21661,10.1145/3219104.3219150,,1053575,
articles:21804,10.1016/j.envint.2018.04.048,"83542201,103906/Z/14/Z,141959","83542201,103906/Z/14/Z,#141959",
articles:21830,10.1175/JCLI-D-17-0825.1,"NA16OAR4310169,NA16OAR4310170,NA16OAR4310171,OCE-1243015","NA16OAR4310169,NA16OAR4310170,NA16OAR4310171,Office of Science (BER) HiLAT project,Office of Science (BER) HiLAT project,OCE-1243015,Office of Science (BER) HiLAT project","NA16OAR4310170,OCE1243015"
articles:21849,10.1175/JAS-D-17-0372.1,,,
articles:21852,10.1016/j.atmosenv.2018.05.057,"10-C-NE-UI amendment 001,ark:/85065/d7wd3xhc","10-C-NE-UI,85065/d7wd3xhc",
articles:21889,10.1007/s11214-018-0534-1,"2016-16050438,NNX15AN43G,NNX15AB65G,41531073,WI 3211/5-1","ST/N000781/1,FA9550-14-1-0191,41531073,WI 3211/5-1,NNX15AB65G,NNX15AB65G,NNX15AB65G,NNX15AB65G,NNX15AN43G",
articles:21803,10.1007/s00442-018-4198-z,IOS-0950998,,
articles:21801,10.1007/s10546-018-0349-3,,,
articles:21976,10.1175/BAMS-D-17-0009.1,,,
articles:22146,10.1016/j.rsase.2018.04.010,,"NNN12AA01C,G13PC00028",
articles:22037,10.1209/0295-5075/123/44002,"ANR-11-IDEX-0007,20020130100738BA,PICT 2015-3530,ANR-17-CE30-0003",,
articles:21957,10.1007/s10533-018-0478-2,HAW01130-H,"Powell Center,HAW01130-H",
articles:22057,10.1007/s13171-018-0129-7,,"DMS-CAREER-0437555,DMS-0707069",DMS0707069
articles:21988,10.1175/BAMS-D-17-0312.1,,,
articles:21832,10.1175/JCLI-D-18-0041.1,"AGS-1317469,AGS-1734760","AGS-1317469,AGS-1734760,NSF funding to NCAR",
articles:21840,10.1175/MWR-D-17-0379.1,"105-2917-I-564-013,AGS-1033112","105-2917-I-564-013,AGS-1033112",AGS1033112
articles:21800,10.1175/JCLI-D-17-0513.1,,,
articles:21831,10.1175/JCLI-D-17-0904.1,CPO NA15OAR4310161,CPO NA15OAR4310161,
articles:21850,10.1175/JAS-D-17-0164.1,"DE-SC0014065,DE-SC0016476,SUBAWD000397,AGS-1213311,AGS-1762096","DE-SC0014065,DE-SC0016476 through subcontract SUBAWD000397,AGS-1213311,AGS-1762096",DESC0016476
articles:21802,10.1175/WAF-D-17-0101.1,AGS-1120459,AGS-1120459,AGS1120459
articles:21851,10.1175/JTECH-D-17-0225.1,,,
articles:21904,10.1175/JAMC-D-17-0291.1,,,
articles:22165,10.1175/JCLI-D-17-0454.1,"NA12OAR4310075,NA15OAR4310098,NA15OAR4310177,NA17OAR4310261,GC14-252,N00014-16-12260,NA16OAR4310080,NA15NWS4680007,N00173-15-1-G004","NA12OAR4310075,N00014-16-12260,NA15OAR4310098,NA15OAR4310177,NA17OAR4310261,NA16OAR4310080,NA15NWS4680007,N00173-15-1-G004,GC14-252",
articles:21888,10.1175/JHM-D-17-0189.1,200020_156606,200020_156606,
articles:22030,10.1029/2018JA025566,"41325017 41421063,41831070","41325017,41421063,41831070",
articles:22031,10.1029/2018JA025349,"NAS5-02099,AGS-1004814,PLR-1341359,41574157,41322031,41628402,ST/N000722/1,NE/L007495/1,NE/P017150/1,NE/P017185/1,NSFAGS-1352669,NASANNX17AD35G","NAS5-02099,NNX17AD35G,AGS-1004814,AGS-1352669,41574157,41322031,41628402,2013BSE27132,ST/N000722/1,NE/L007495/1,NE/P017150/1,NE/P017185/1",
articles:21761,10.1175/JCLI-D-17-0838.1,DE-SC0012711,DE-SC0012711,DESC0012711
articles:22032,10.1029/2017JA024846,"NNX15AI62G,NAS5-02099,PLR-1341359,AGS-1451911,AGS-1352669,FA9550-15-1-0179,FA9559-16-1-0364,ANT-0638587,41628402","PLR-1341359,AGS-1451911,AGS-1352669,ANT-0638587,41628402,FA9550-15-1-0179,FA9559-16-1-0364,NNX15AI62G,NAS5-02099",
articles:21959,10.1063/1.5043293,"20020130100738BA,2011-1529,2015-3530","PICT 2011-1529,PICT 2015-3530,20020130100738BA",
articles:22112,10.3390/w10081009,,,
articles:22017,10.3389/fspas.2018.00023,,,
articles:21938,10.1029/2018GL078254,,,
articles:21853,10.5194/npg-25-537-2018,,,
articles:21958,10.3390/atmos9080293,,,
articles:21974,10.1029/2017JD028082,"AGS 1360745,AGS-1360834,AGS-1433358,DGE-1256082","AGS 1360745,DGE-1256082,AGS-1433358,AGS-1360834",
articles:22011,10.1029/2018JD029049,,,
articles:21922,10.1029/2018JA025504,"41774152,41704150,41674155,41621063,2017258","2017258,41774152,41704150,41674155,41621063",
articles:21995,10.1029/2018JD028475,"AGS-1360834,83587701-0,NNX15AT96G,AGS-1360745,AGS-1360730,AGS-1456249,AGS-1433358,Z15-19193,RGPIN/05002-2014,2016-PR-192364","2016-PR-192364,NNX15AT96G,RGPIN/05002-2014,AGS-1360834,AGS-1360745,AGS-1360730,AGS-1456249,AGS-1433358,83587701-0,Z15-19193",
articles:22009,10.1029/2018JD028271,"ACCDAMNNX14AR56G,AGS-1522910,1063479,1522551,AGS-1261559,NNX12AMO8G","ACCDAMNNX14AR56G,AGS-1261559,NNX12AMO8G,AGS-1522910,1063479,1522551",
articles:21994,10.1029/2017JD027915,AGS 1433408,,
articles:21854,10.5194/acp-18-10715-2018,NNN13D455T,,
articles:21856,10.5194/amt-11-4435-2018,STI 210/9-2,,
articles:21855,10.1038/s41586-018-0252-6,"IBS-R028-D1,1151185,NRF-2017R1A2A2A05069383,NRF-2017R1A2B3011511,AGS-1406601,DE-SC0005110,GYHY201506013,SFB 754",,
articles:21939,10.1126/sciadv.aat6025,"AGS-1406962,ARC-1023592,PLR-1603350","AGS-1406962,PLR-1603350,ARC-1023592",
articles:21857,10.3847/1538-4357/aaccee,"FA9550-15-1-0030,NHAO0011,AFOSR4033B701",,
articles:21833,10.5194/acp-18-10497-2018,"1 R21 ES022600-01,NNX16AQ30G,NNX16AQ26G,GA01101,641816","1 R21 ES022600-01,NNX16AQ26G",
articles:21887,10.1073/pnas.1803295115,"AGS-1360745,AGS-1360834,AGS-1360730,NNX15AT96G","AGS-1360745,AGS-1360834,NNX15AT96G,AGS-1360730",
articles:22010,10.1029/2018JD028539,"70NANB14H333,70NANB14H332,AGS-1360745,1433358","1360745,1433358,AGS-1360745,70NANB14H332,70NANB14H333",
articles:21799,10.1126/science.aat9097,,,
articles:21834,10.5194/amt-11-4309-2018,AGS-1522830,AGS-1522830,AGS1522830
articles:22055,10.1117/12.2314212,,,
articles:21923,10.1029/2017JA025154,"NNX14AE06G,NNX15AB83G,NNX17A142G,80NSSC17K0013","NNX14AE06G,NNX15AB83G,NNX17A142G,80NSSC17K0013","80NSSC17K0013,NNX14AE06G"
articles:21975,10.1029/2018JD028452,,,
articles:21836,10.5194/amt-11-4239-2018,AGS-1522830,AGS-1522830,AGS1522830
articles:21835,10.3847/2041-8213/aad1ed,,,
articles:21859,10.1029/2017JD028211,"222390,223252/F50,NNX14AH54G,276926","276926,NNX14AH54G,222390,223252/F50",
articles:21858,10.1029/2018GL078828,"41574156,U1501501,DEAC52-06NA25396","41574156,U1501501,DEAC52-06NA25396",
articles:21948,10.1002/joc.5561,,,
articles:21891,10.1029/2018SW001847,"NNX13AD64G,NNX14AD46G,FA9550-16-1-0059,FA9559-16-1-0364","NNX13AD64G,NNX14AD46G,FA9550-16-1-0059,MURI FA9559-16-1-0364",
articles:21783,10.5194/gmd-11-2581-2018,"FKZ: 01LP1517(CT):/01LP1130B(MT),FKZ: 01LG1212A (RH),FP7-ENV.2013.6.1-2,NE/N006038/1,TO 967/1-1,ECF-2014-524",,
articles:21784,10.1007/s10291-018-0730-1,"16-05-01077,CAS AGS-1033112",,AGS1033112
articles:21798,10.1088/1748-9326/aacc4c,"NNX15AL46G,G09AC000001,NNH15ZDA001N-SERVIR",,
articles:21878,10.1371/journal.pmed.1002598,"2016YFC0207603,71433007,83520601,ES009089,T32ES023770","83520601,71433007,2016YFC0207603,ES009089,T32ES023770",
articles:21604,10.1016/j.parco.2018.04.002,DE-AC02-05CH11231,,
articles:21663,10.1007/s00376-018-8061-2,"PLR-1625904,PLR-1543305,PLR-1535632",,
articles:21787,10.1002/eap.1721,,,
articles:21805,10.1016/j.jhydrol.2018.04.073,,,
articles:21861,10.1175/BAMS-D-17-0301.1,2016YFB02008,,
articles:21860,10.1002/joc.5527,,,
articles:21786,10.1016/j.atmosenv.2018.05.005,,,
articles:21862,10.1175/BAMS-D-16-0178.1,"2015DFA20870,Z151100002115045,D171100000717003,41505102,41575010,41605012,41705088,41705090,AGS 084742,AGS 1522492",,
articles:21809,10.1093/jme/tjy011,"R56AI091843,R01AI091843","R56AI091843,R01AI091843",
articles:21838,10.1038/s41561-018-0146-0,,,
articles:21839,10.1038/s41561-018-0151-3,"NA13OAR4310219,OCE 10-60804,NNX14AL85G",,
articles:21863,10.1175/BAMS-D-16-0309.1,"NA11OAR4320072,DGE-1102691,A00-4125,DOC-NOAA NA16NWS4680002,NA16OAR4320115,NA15OAR4590186,NA15OAR4590159,NA15OAR4590191,NA15NWS4680004,ACI-1548562",,NA15OAR4590191
articles:21727,10.1002/wat2.1288,1419563,,1419563
articles:21928,10.1016/j.pocean.2018.05.007,CNS-0821794,CNS-0821794,
articles:21929,10.1029/2017MS001257,"12-015334,DE-FC02-97ER62402,AGS-1547910","DE-FC02-97ER62402,AGS-1547910",
articles:22035,10.1088/1748-9326/aacf68,"2015-67003-23485,DE-FC03-97ER62402/A010,DE-SC0012972,DE-FG02-91ER2002,DE-SC0012704,2015-67003-23489,1049033,1000026","1000026,2015-67003-23485,2015-67003-23489,DE-FC03-97ER62402/A010,DE-FG02-91ER2002,DE-SC0012704,DE-SC0012972,1049033",20156700323489
articles:21807,10.1175/JCLI-D-17-0543.1,"DE-AC52-07NA27344,GC14-252",DE-AC52-07NA27344,
articles:21927,10.1029/2017MS001247,DE-AC05-00OR22725,DE-AC05-00OR22725,
articles:21815,10.1175/MWR-D-17-0265.1,NNL13AQ00C,NNL13AQ00C,NNL13AQ00C
articles:21926,10.1029/2018JA025507,"NE/J022187/1,NE/J02077X/1,258165,265005,276926,621-2012-1648,NNX14AH54G","NNX14AH54G,621-2012-1648,276926,265005,258165,NE/J022187/1,NE/J02077X/1",
articles:21808,10.1175/JAS-D-17-0155.1,CHE-1305427,1305427,
articles:21925,10.1029/2018JA025294,"NNX14AH54G,AGS 1135432","AGS 1135432,NNX14AH54G",
articles:21785,10.1175/WCAS-D-17-0126.1,1331490,1331490,1331490
articles:21728,10.1175/JCLI-D-17-0566.1,"GC14-252,2016R1A1A3A04005520","GC14-252,2016R1A1A3A04005520",
articles:21806,10.1175/JCLI-D-17-0783.1,,NA14OAR4310229,
articles:21841,10.1175/JTECH-D-18-0038.1,"AGS-1135446,1519006","AGS-1135446,1519006",
articles:21788,10.5194/acp-18-9107-2018,"AGS-1216166,AGS-1215712,AGS-1216743","1216166,1215712,1216743",
articles:21789,10.5194/npg-25-477-2018,,,
articles:21924,10.1002/eap.1752,"NNX12AQ87G,NNN12AA01C,EMW-2011-FP-01124","NNX12AQ87G,NNN12AA01C,EMW-2011-FP-01124",EMW2011FP01124
articles:21759,10.5194/acp-18-8953-2018,GA01101,None,
articles:21790,10.5194/acp-18-9075-2018,"621-2012-1648,NNX14AH54G,222390","621-2012-1648,NNX14AH54G,222390",
articles:21817,10.1155/2018/1613756,,,
articles:21842,10.1029/2018GL078312,,,
articles:21810,10.1371/journal.pone.0198748,"01LN1317A,603542",,
articles:21866,10.1029/2017JD027950,"2017YFC1501703,2013CB430101,2015CB452800,41475015,41275031,41322032,2013CB430101","41322032,41275031,41475015,2013CB430101,2015CB452800,2017YFC1501703",
articles:21895,10.1029/2018JD028578,"41605026,201604020069,2013CB430101","41605026,2013CB430101,201604020069",
articles:21763,10.5194/esd-9-895-2018,"DE-AC02-05CH11231,603542,30,BCS-410269,DEB-1313727,GEO-909394,0621695,03F0667A,AGS-1243095,311819 - GLOLAND","DE-AC02-05CH11231,603542,AGS-1243095,03F0667A,311819,295701",AGS1243095
articles:21764,10.5194/bg-15-3841-2018,"PLR-1543457,OCE-1558225,OCE-1155240,NA12OAR4310058,NNX17AK19G,NSF PLR-1425989",,
articles:21837,10.1073/pnas.1801270115,"ROSES-2012 A.36,NNH12ZDA001N-ECOF",NNH12ZDA001N-ECOF,
articles:22003,10.1007/s40641-018-0098-x,1653841,,
articles:21729,10.5194/cp-14-887-2018,,,
articles:21672,10.1007/s10874-017-9369-5,,,
articles:21731,10.5194/acp-18-8647-2018,310479827,,
articles:21732,10.5194/gmd-11-2455-2018,"DE-FC02-97ER62402,DE-AC05-76RL01830,DE-AC02-05CH11231,SFRH/BPD/84328/2012",,DEAC0576RL01830
articles:21730,10.5194/amt-11-3569-2018,"CNS-1446912,CBET: 1240584","CBET: 1240584,DISCOVER-AQ",
articles:21735,10.5194/amt-11-3491-2018,"NNH15AB12I,J-3613",,
articles:21734,10.3389/fpsyg.2018.00994,,,
articles:21736,10.1038/s41598-018-27673-x,,,
articles:21733,10.3847/2041-8213/aaca97,,,
articles:21737,10.1038/s41598-018-27537-4,"OPP1161891,MR/M015297/1",,
articles:21768,10.1029/2017JD028033,"603445,AGS-1358495",,
articles:21769,10.1029/2018JD028285,DE-AC05-76RL01830,DE-AC05-76RL01830,DEAC0576RL01830
articles:21770,10.1029/2018JD028424,"AGS-1401778,AGS-1401803,AGS-1401802","AGS-1401802,AGS-1401803,AGS-1401778",AGS1401803
articles:21766,10.1029/2018GL077852,"41605041,BK20160621,020714380020,20160046,DE-AC05-76RLO1830","20160046,020714380020,BK20160621,41605041",
articles:21765,10.1029/2018GL077677,"1301762,AGS-1441896,NNX15AN08G,80NSSC17K0638","1301762,NNX15AN08G,AGS-1441896,80NSSC17K0638",
articles:21685,10.5194/acp-18-8373-2018,DE-FG02-94ER61937,DE-FG02-94ER61937,
articles:21738,10.5194/acp-18-8409-2018,"WBS 479717,12-NIW-006,267760,CRSII2_147659,200021_169241,2-1303,2-1709,603557,GA01101,603557,641816,CE110001028,q90,FoRCES 4012,CO1X1445,NE/R001782/1",,
articles:21710,10.1039/C7PP00374A,,,
articles:21739,10.5194/acp-18-8439-2018,"229778,NE/K007483/1,NE/N006038/1,NE/K500872/1,243942,229771,207711/E10,nn2345k,ns2345k,S-12-3,15H01728,15K12190",,
articles:21867,10.1002/joc.5474,,,
articles:21709,10.5194/acp-18-8293-2018,"NA17OAR4320101,233133",6640-002,
articles:21740,10.1088/1748-9326/aac4bd,NNX16AO98G,,NNX16AO98G
articles:22052,10.5194/acp-18-8331-2018,STI210/9-2,,
articles:21771,10.1029/2017JD028012,41775045,41775045,
articles:21560,10.1017/jfm.2018.192,ANR-11-IDEX-0007,,
articles:21714,10.3847/1538-4357/aac028,"NNG04EA00C,AGS-1249270,AGS-1156120",,
articles:21868,10.1002/2017MS001227,"AGS-0968640,AGS-1049057,DE-SC0006702","AGS-0968640,AGS-1049057,DE-SC0006702","AGS1049057,DESC0006702"
articles:21716,10.1038/s41598-018-27127-4,NNL13AQ00C,,NNL13AQ00C
articles:21686,10.1126/science.aat1871,DE-FC02-97ER62402,,
articles:21715,10.3847/1538-4357/aabba3,"2015PE015,41750110481",,
conference:3325,10.6084/m9.figshare.6451508.v1,,,
articles:21717,10.1007/s10584-018-2211-5,108015,,
articles:21772,10.3390/atmos9060216,"DE-AC52-07NA27344,DE-AC05-00OR22725",,
articles:21668,10.1080/02786826.2018.1439570,"DE-SC0001673,NNX15AT96G",#DE-SC0001673,
articles:21491,10.1016/j.scitotenv.2017.12.312,CBET-1240584,CBET-1240584,
articles:21581,10.1002/kin.21172,"ANR-14-CE01-0010,NE/M013448/1,730997,1122374,NA16SEC4810006",,
articles:21669,10.1088/1748-9326/aaba48,DE-FC2-97ER62402,,
articles:21671,10.1016/j.ocemod.2018.04.005,,,
articles:21665,10.1175/JCLI-D-17-0439.1,"229778,NE/K500872/1,IND/CONT/E/93-14/697,S-12-3,15H01728,15K12190,229771,207711/E10,nn2345k,ns2345k,NE/K007483/1,NE/N006038/1","229778,NE/K500872/1,S-12-3,15H01728 and 15K12190,229771, 207711/E10, nn2345k,229771, 207711/E10, nn2345k,NE/K007483/1 and NE/N006038/1",
articles:21687,10.1111/padr.12150,,1416860,
articles:21670,10.1016/j.ocemod.2018.04.007,NE/K013548/1,NE/K013548/1,
articles:21690,10.1364/AO.57.004440,1624736,1624736,
articles:21689,10.1038/s41558-018-0163-4,"CE110001028,NE/N005783/1",,
articles:21773,10.1007/s12601-018-0007-1,,,
articles:21743,10.1175/JAS-D-17-0310.1,NA15OAR4310099,NA15OAR4310099,
articles:21744,10.1175/JAS-D-17-0309.1,NA15OAR4310099,NA15OAR4310099,
articles:21745,10.1175/JAS-D-17-0153.1,PE 0601153N,PE 0601153N,
articles:21623,10.1016/j.jastp.2017.07.024,"103-2111-M-008-019-MY3,105-2111-M-008-001-MY3,CAS AGS1033112,AGS1339918,NNX13AF93G,NNX14AD84G","103-2111-M-008-019-MY3,105-2111-M-008-001-MY3,AGS1033112,AGS1339918,NNX13AF93G,NNX14AD84G","AGS1033112,AGS1339918,NNX13AF93G,NNX14AD84G"
articles:21660,10.1175/MWR-D-17-0295.1,AGS-1243030,AGS-1243030,AGS1243030
articles:21691,10.3847/1538-4357/aabc07,"NNX17AM01G,NSF-0949446,NSF-1550901,g26133",,
articles:21777,10.1088/1742-6596/1037/7/072056,,,
articles:21795,10.1175/BAMS-D-17-0001.1,"15-SUSMAP15-0147,12-MAP12-0045",,
articles:21793,10.1175/BAMS-D-17-0156.1,"DE-SC0011459,DE-SC0013306,DE-SC0014568",,
articles:21792,10.1175/JAMC-D-17-0337.1,NNX15AQ66G,NNX15AQ66G,NNX15AQ66G
articles:21794,10.1175/BAMS-D-18-0038.1,,,
articles:21797,10.4269/ajtmh.17-0539,,,
articles:21796,10.1111/nph.15116,IOS-1557906,IOS-1557906,
articles:21843,10.1007/s13143-018-0300-z,,,
articles:21955,10.1029/2018JA025418,"222390,223252/F50,NNX14AH54G","222390,223252/F50,NNX14AH54G",
articles:21844,10.1007/s13143-018-0013-3,,,
articles:21869,10.1029/2018MS001326,"1069333,DE-AC02-05CH11231,DE-SC0016605,300-15-006","1069333,300-15-006",
articles:22141,10.3390/fire1010006,,"NNX12AQ87G,EMW-2015-FP-00888",EMW2015FP00888
articles:21791,10.1175/WAF-D-17-0144.1,"NA13NWS4680003,NA17NWS4680001,NA15OAR4590191","NA15OAR4590191,NA13NWS4680003 and NA17NWS4680001",NA15OAR4590191
articles:21741,10.1175/JAS-D-17-0397.1,74110-52601118,74110-52601118,
articles:21742,10.1175/JAS-D-17-0382.1,"2017YFC1501601,41475046","2017YFC1501601,41475046,Short Term Visit Program",
articles:21905,10.1029/2017JC013749,"NNX13AM93H,NNX13AO38G,DE-SC0012778","NNX13AM93H,NNX13AO38G,DE‐SC0012778",
articles:21662,10.1175/JCLI-D-17-0407.1,"AGS-1243125,NCAR-1243107","1243125,1243107",
articles:21873,10.1029/2018RG000600,"DE-SC0012606,80NSSC17K0565,OPP-1246151,NA14OAR4320106,NA13OAR431009","DE-SC0012606,80NSSC17K0565,OPP-1246151,NA14OAR4320106,NA13OAR431009",DESC0012606
articles:21811,10.1175/JHM-D-17-0202.1,"NNX14AD77G,1454089",NNX14AD77G,
articles:21812,10.1175/MWR-D-17-0314.1,"NA14NWS4680024,NA16NWS4680027","NA14NWS4680024,NA16NWS4680027",
articles:21813,10.1175/MWR-D-18-0077.1,NRAL0016,,
articles:21746,10.1175/JAS-D-17-0389.1,"NNX14AG68G,DE-SC0016476","DE-SC0016476,ASP Graduate Student Fellowship,NNX14AG68G",DESC0016476
articles:21870,10.1029/2017JA025097,,NNN13D461T,
articles:21814,10.1175/MWR-D-17-0384.1,AGS-0856145,AGS-0856145,AGS0856145
articles:21871,10.1029/2018JA025464,"NNX14AH54G,NNX16AB82G","NCAR,NNX14AH54G,NNX16AB82G",NNX16AB82G
articles:21991,10.1007/s10393-018-1320-y,"DEB-0841758,DEB-1149308,R01GM109499","FP-91-6996-01,R01GM109499,DEB-0841758,DEB-1149308",
articles:21688,10.1007/s00382-017-3893-5,1235231,,1235231
articles:22000,10.1175/JCLI-D-17-0324.1,RP03350,,
articles:21674,10.5194/acp-18-7473-2018,"2015/19/P/ST10/02596,665778",,
articles:21675,10.5194/acp-18-7489-2018,"41705128,SKLLQG1709,FD-LAP17003",,
articles:21676,10.5194/acp-18-7509-2018,NNX15AE38G,NNX15AE38G,NNX15AE38G
articles:21692,10.5194/amt-11-3091-2018,"AGS-1522830,NNX16AK37G",AGS-1522830,"AGS1522830,NNX16AK37G"
articles:21677,10.5194/acp-18-7439-2018,"AGS-1403676,NNX14AP58G",,
articles:21722,10.1029/2018GL078039,"41574143,41331069,17HASTIT010,2014YQ0006","41331069,41574143,17HASTIT010,2014YQ0006",
articles:21721,10.1029/2018GL077678,1752796,1752796,
articles:21718,10.1029/2018GL077956,"41404118,41674149,KZZD-EW-01-1","41404118,41674149,41674149,41404118,KZZD-EW-01-1",
articles:21719,10.1029/2017GL076246,"OCE-1048926,OCE-1048897,OCE-1558809,NNX13AE47G,NNX16AH9G",,
articles:21723,10.1029/2018GL077955,"1539972,NNX14AH54G","NNX14AH54G,1539972",
articles:21748,10.1029/2017JD027978,"AGS-1261740,AGS-1620530,CE110001028,q90,FoRCES 4012,2-1303,2-1709,NE/R001782/1","AGS-1620530,AGS-1261740,NE/R001782/1,2-1709,2-1303,FoRCES 4012,q90,CE110001028,NNH12ZDA001N-ACMAP,NNH12ZDA001N-UACO",
articles:21720,10.1029/2018GL077867,AGS-1552153,AGS-1552153,AGS1552153
articles:21747,10.1029/2018JD028425,"NNX14AN47G,SPP 1294",NNX14AN47G,NNX14AN47G
articles:21749,10.1029/2017JD028075,"DE-AC02-05CH11231,NAS2-03144,DE-AC02-05CH11231,CA-D-LAW-2229-H","CA-D-LAW-2229-H,NAS2-03144,DE-AC02-05CH11231",
articles:21679,10.5194/acp-18-7217-2018,"2-1709,12-NIW-006,AGS-1403676,NNX14AP58G,200021169241,CE110001028,q90,FoRCES 4012",AGS-1403676,
articles:21678,10.5194/acp-18-7251-2018,D171100000717001,,
articles:21673,10.1088/1748-9326/aab9df,"91537211,1419593,1739705,2015-67003-23508,2015-67003-23460,1739705,NA17OAR4310134","Grants 1419593 and 1739705,Grant NA17OAR4310134,Grants 2015-67003-23508 and 2015-67","20156700323460,NA17OAR4310134"
articles:21774,10.1029/2018JA025460,"41325017,41421063","41325017,41421063",
articles:21753,10.1029/2017JG004348,"AGS-1243095,DE-FC03-97ER62402/A010,DE-SC0012972,2015-67003-23489","AGS‐1243095,2015‐67003‐23489,DE‐FC03‐97ER62402/A010,DE‐SC0012972","20156700323489,AGS1243095"
usclivar:111,10.5065/D69Z93QF,,,
usclivar:110,10.5065/D6FQ9VDB,,,
articles:21664,10.1088/1748-9326/aabcdc,DE-FC02-97ER62402,"Cooperative Agreement # DE-FC02-97E,UCAR Cooperative Agreement",
articles:21695,10.1029/2018GL077728,83587201,83587201,
articles:21699,10.1029/2018GL077325,"41376007,91337106","91337106,41376007",
articles:21622,10.5194/acp-18-6847-2018,"NNX16AQ19G,S-12-3,5H01728",,
articles:21707,10.1029/2017JA025166,"41325017,41421063,41674154","41674154,41421063,41325017",
articles:21698,10.1029/2018GL077510,"SPP 1788,X13AF77G",X13AF77G,X13AF77G
articles:21697,10.1029/2018GL077905,,,
articles:21696,10.1029/2018GL077723,"1135432,80NSSC17K0007,NNX14AH54G,NNX15AJ24G,NNX16AB82G,NNH17AE63I","1135432,80NSSC17K0007,NNX14AH54G,NNX15AJ24G,NNX16AB82G,NNH17AE63I",NNX16AB82G
articles:21694,10.1029/2018JD028290,"DGE-1650042,CA-D-ETX-2102-H","CA-D-ETX-2102-H,DGE-1650042",
articles:21693,10.1002/2017JD028146,DE-AC05-76RL01830,ark:/85065/d7wd3xhc,DEAC0576RL01830
articles:21526,10.1016/j.atmosres.2018.01.015,"AGS-1058426,WYOM0004",AGS-1058426,
articles:21667,10.1073/pnas.1801191115,NNX16AQ26G,,
articles:21649,10.1038/s41467-018-04307-4,"229778,275589,NE/K500872/1,S-12-3,JP15H01728,JP15K12190,229771,207711/E10,nn2345k,ns2345k,NE/K007483/1",,
